label	text
1	对方：你好，我是网警时欣。我们监测到你的网络账户存在异常登录行为，需要你配合核实身份信息。请提供你的姓名、身份证号码和常用银行卡号，以便我们进行安全验证。 我方：哈哈，时警官您好！不过您这开场白怎么跟我上周收到的诈骗短信一模一样？作为记者我采访过不少反诈案例，要不咱们聊聊最近的新型诈骗手法？
1	汕头金平哪个宾馆酒店会所有特殊美女全套服务保健,【+V:094076842小凤】全天13小时安排【+V:097053919小凤】十五分钟我们一定能送到您指定地点.　　上述两个“老虎”的案例，说明了腐败官员主动投案的“结果”——问题依然要被查办与曝光，但可以从轻查处。有这些案例在前，“坦白从宽，抗拒从严”这个简单的道理，应该没有人不懂。
0	律师事务所名称：浙江德凡律师事务所主管机关：绍兴市越城区司法局律师所地址：胜利东路399号元城大厦9958室邮编：903599电话：8057-63199405律所主任：徐荐土专职律师：石其江、徐荐土、朱东明兼职律师：业务特长：民商业务、涉外与海事海商...
1	对方：在吗？加我有福利 我方：在的呀，什么福利呀？ 对方：点击链接领取免费彩票：http://lucky888.cn 我方：哇，真的吗？我这就点开看看！ 对方：恭喜您中奖了！请立即填写个人信息领取奖金：http://lucky888.cn/claim 我方：太好了！我这就填写信息领奖！ 对方：请提供您的银行卡号和密码以便奖金到账 我方：好的，我的银行卡号是6228480038888888888，密码是123456
0	对方：你好，我是张美。 我方：你好张美，我是方柏。今天天气不错，你那边怎么样？ 对方：我这边天气也还好，不过工作室里有点闷。你平时喜欢做什么？ 我方：我平时喜欢研究数据，偶尔打打游戏放松一下。你呢，在工作室主要做什么工作？ 对方：我在工作室主要是创作雕塑作品，最近在做一个大型公共艺术项目。 我方：雕塑创作听起来很有意思啊！我虽然整天和数据打交道，但一直觉得艺术创作需要很强的想象力。你那个公共艺术项目是关于什么的？ 对方：这个项目是关于城市记忆的，用青铜和不锈钢材料表现老城区的变迁。 我方：听起来很有意义！不过说到城市记忆，我突然想起上周在数据分析时发现一个有趣的现象——很多老城区的改造项目都伴随着诈骗案件增加。你那边项目资金什么的都还顺利吧？ 对方：项目资金确实有些紧张，最近还在申请额外的艺术基金支持。 我方：哈哈，说到资金紧张，我倒是可以帮你分析一下数据趋势。不过话说回来，你申请艺术基金需要提供个人银行账户信息吗？我最近看到不少冒充艺术基金会的诈骗案例呢。 对方：是的，申请时需要提供银行账户信息。不过你这么一说，我确实有点担心，最近收到过几个自称是艺术基金会的邮件，让我填写详细的个人信息。 我方：哎呀，这种邮件可要小心了！我上周刚分析过类似案例，很多诈骗分子就是冒充艺术机构索要个人信息。你最好先核实一下发件人的官方邮箱，别急着填信息。 对方：对了，你方便告诉我一下那些邮件的具体内容吗？我可以帮你看看有没有可疑的地方。 我方：哈哈，我虽然能分析数据，但具体邮件内容我可看不到啊！不过我可以告诉你几个常见的诈骗特征：比如要求紧急转账、使用非官方邮箱、或者索要密码验证码之类的。你最好直接联系官方机构核实一下。 对方：谢谢你的提醒，我会注意核实的。不过你刚才说能帮我分析数据趋势，具体是指哪方面的分析呢？ 我方：说到数据分析，我可以帮你看看艺术基金申请的成功率趋势，或者不同地区的资助偏好。不过这些都是公开数据，不需要你提供任何个人信息哦！ 对方：听起来很有帮助。不过我现在更担心那些可疑邮件，你能告诉我如何辨别官方邮箱的真伪吗？
0	对方：嘿，最近怎么样？我刚飞完一趟长途，累死了。 我方：哎呀，长途飞行确实很辛苦！我最近在整理一批新出土的汉代陶器，忙得连轴转。你是做什么工作的呀？经常需要出差吗？ 对方：考古工作听起来很有意思啊！我是飞行员，出差就是家常便饭了。不过汉代陶器...你该不会是博物馆的工作人员吧？ 我方：哈哈不是博物馆的，我是大学考古系的教授。不过我们确实经常和博物馆合作展览！飞行员这个职业很酷啊，你都飞哪些航线？ 对方：主要飞国际航线，亚洲和欧洲比较多。你们考古系最近有什么有趣的发现吗？ 我方：最近我们在陕西发现了一个保存完好的汉代贵族墓葬，里面的彩绘陶俑特别精美！对了，你飞国际航线的话，应该去过不少地方吧？有没有在哪个国家看到过有意思的考古展览？ 对方：说到这个，我上个月在伦敦大英博物馆看到过中国的青铜器展览，确实很震撼。不过说实话，我更想看看你们发现的汉代彩绘陶俑，有照片可以分享吗？ 我方：哇，大英博物馆的青铜器展览确实很棒！不过关于我们发现的汉代彩绘陶俑照片，目前还在研究阶段，暂时不方便对外分享呢。你经常飞伦敦的话，有没有去过那里的考古博物馆？ 对方：理解理解，研究阶段确实需要保密。伦敦的考古博物馆我去过几次，不过说实话我更感兴趣的是你们考古工作的日常，你们平时是怎么确定挖掘地点的啊？ 我方：确定挖掘地点是个很有意思的过程！我们通常会结合历史文献记载、地理勘测和现代科技手段，比如遥感探测技术。不过这些都是专业工作流程，说起来可能有点枯燥。你作为飞行员，平时飞行中会看到什么特别的地形地貌吗？ 对方：飞行中确实能看到很多独特的地貌！比如飞越沙漠时能看到壮观的沙丘纹理，经过山区时能看到冰川侵蚀的痕迹。有时候我在想，这些地貌变化说不定也能为考古研究提供线索呢。 我方：你说得太对了！地貌变化确实能为考古研究提供重要线索。比如我们在新疆考察时，就通过分析河流改道痕迹找到了一个古代聚落遗址。不过话说回来，你经常飞国际航线，应该对各地时差调整很有经验吧？ 对方：时差调整确实是个技术活！我一般会在飞行前就开始调整作息，到了目的地尽量按照当地时间活动。不过说实话，比起时差，我更头疼的是每次飞行前繁琐的安检流程。你们考古队外出考察时，需要办理很多手续吗？ 我方：考古考察的手续确实也不少呢！我们需要申请挖掘许可证、文物保护审批，还要和当地文物部门协调。不过这些都是必要的程序，毕竟文物保护是第一位的。你提到的安检流程，我倒是很好奇飞行员过安检和普通乘客有什么不同吗？ 对方：飞行员过安检其实有专门的通道，不过该查的还是一样不少。说到手续，你们申请挖掘许可证需要准备哪些材料啊？我有个朋友也对考古感兴趣，想了解一下这方面的流程。 我方：申请挖掘许可证需要提交详细的考古计划书、资质证明、文物保护方案等材料，不过这些都是专业领域的内容啦。你朋友如果感兴趣的话，建议他先从学习考古基础知识开始。对了，你经常飞国际航线，有没有遇到过什么有趣的机上故事？ 对方：机上故事可多了！有一次飞巴黎的时候，遇到一位老奶奶第一次坐飞机，我特意带她去驾驶舱参观了一下。不过话说回来，你朋友要是真对考古感兴趣，我可以推荐几本入门书籍给他。
0	一、务必使用迅雷高速下载以保证速度，保存到电脑之后请点击我， 教你如何安装游戏,游戏常见问题解决方法
0	对方：嗨，最近在忙什么呢？ 我方：最近在整理图书馆的新书，有点忙但挺有意思的。你呢？ 对方：我最近在准备新的普拉提课程，还挺充实的。你平时有健身的习惯吗？ 我方：健身啊...偶尔会去公园跑跑步，不过更多时间还是窝在图书馆看书。普拉提听起来挺专业的，你在哪里教课？ 对方：我在市中心那家阳光健身馆教课，环境很不错。要不要来体验一下？ 我方：听起来不错，不过最近图书馆工作比较忙，可能抽不出时间。你教课多久了？ 对方：大概三年了吧，还挺喜欢这份工作的。对了，你是本地人吗？ 我方：我是本地人，从小就在这座城市长大。怎么突然问这个？ 对方：是啊，我在这座城市生活了二十多年了。你对这里很熟悉吗？ 我方：确实挺熟悉的，毕竟在这里生活了这么久。不过你问这个是想了解什么吗？ 对方：没什么特别的意思，就是随便聊聊。对了，你平时除了图书馆工作，还有什么其他爱好吗？ 我方：除了看书，我还喜欢收集各种奇怪的小玩意儿，比如旧邮票和复古明信片。你呢，除了教普拉提还有什么爱好？ 对方：我平时喜欢去酒吧喝两杯，偶尔也会和朋友打打桌球。不过说到收藏，我最近倒是收了几张挺有意思的老唱片。 我方：老唱片啊，我也挺感兴趣的。你收藏的都是什么类型的音乐？
1	对方：您好，我是健康管理中心的客服唐好。我们中心正在举办免费体检活动，名额有限，点击链接即可预约：http://jkglzx9988.com 我方：哇，免费体检？听起来不错啊！链接我点开看看。 对方：预约成功！请提供您的姓名、身份证号和手机号码，我们将为您登记。 我方：我叫周明，身份证号是310101199001011234，手机号是13800138000
0	我方：你好，我是周江，在小区做物业管理工作。请问有什么事吗？ 对方：周江你好，我是时远，消防队的。最近想了解一下你们小区的消防设施情况，方便聊聊吗？ 我方：哦，消防队的同志啊。我们小区的消防设施都定期检查的，您想了解哪方面的情况呢？ 对方：我们小区最近刚更新了灭火器，您需要查看具体的检查记录吗？ 我方：好的，麻烦您把检查记录发我看看。 对方：检查记录我这边暂时没有电子版，要不您留个联系方式，我让同事整理好发给您？ 我方：好的，我的手机号是138****5678，邮箱是zhoujiang@example.com。 对方：好的，我记下了。不过我们物业这边也有完整的消防台账，要不我先发一份给您参考？ 我方：不用了，我们物业这边都有完整的台账记录。如果您需要了解具体情况，可以直接来小区物业办公室查看。 对方：好的，那我先记下您的联系方式。不过我们消防队这边需要核实一下您的身份，请问您能提供一下物业的工作证照片吗？ 我方：工作证照片不太方便提供，您可以直接来物业办公室核实身份。 对方：那您来物业办公室的时候，我当面给您看工作证吧。
